id,fonte,mercado,idioma,senioridade,familia,modalidade,anos_experiencia_min,n_requisitos,req_ingles,req_comunicacao_geral,req_comunicacao_escrita,req_espanhol,req_trabalho_em_equipe,req_times_multidisciplinares,req_autonomia,req_ownership,req_proatividade,req_aprendizado_continuo,req_resolucao_problemas,req_mentoria,req_lideranca,req_adaptabilidade,req_atencao_detalhe,req_organizacao_tempo,req_metodologias_ageis,req_code_review,req_testes_automatizados,req_ci_cd,req_versionamento,req_cultura_devops,req_observabilidade,req_on_call,req_documentacao,req_seguranca,req_performance_escala,req_arquitetura,req_boas_praticas_codigo,req_cloud,req_containers,req_banco_dados,req_apis_integracao,req_microservicos,req_mensageria_eventos,req_infra_como_codigo,req_dados_ia,req_fundamentos_cs,req_anos_experiencia,req_experiencia_previa,req_graduacao,req_diploma_dispensavel,req_portfolio_open_source,req_fuso_horario,req_autorizacao_trabalho,req_disponibilidade_viagem,req_visao_produto,req_foco_cliente,req_impacto_negocio,req_stakeholders
programathor-b6e54416eb,programathor,brasil,pt,junior,fullstack,remoto,,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
programathor-a56962a453,programathor,brasil,pt,junior,frontend,nao_informado,,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
programathor-3d5fa55056,programathor,brasil,pt,senior,backend,remoto,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
programathor-a7d520a19d,programathor,brasil,pt,senior,fullstack,remoto,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
programathor-d40f151f10,programathor,brasil,pt,senior,fullstack,remoto,,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
programathor-9c202564ca,programathor,brasil,pt,pleno,mobile,nao_informado,,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
programathor-d477f87b27,programathor,brasil,pt,nao_informado,backend,remoto,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
programathor-6a4dc89067,programathor,brasil,en,staff_plus,fullstack,nao_informado,5,17,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
programathor-cd63517668,programathor,brasil,pt,nao_informado,backend,presencial,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
programathor-20c6ffaf25,programathor,brasil,pt,senior,mobile,remoto,5,13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
programathor-165b5a2403,programathor,brasil,pt,senior,fullstack,remoto,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
